get_input: 17930461.21474522 mv_to_gpu: 0.006328723763906827, forward: 0.16635580473048714, backwardU: 0.3905311861345845, batch: 93
get_input: 17739711.63864292 mv_to_gpu: 0.006326147850523604, forward: 0.16626138890043218, backwardU: 0.39053851239224696, batch: 94
get_input: 17552977.849629346 mv_to_gpu: 0.006318902969360352, forward: 0.16615551396420128, backwardU: 0.39063563848796645, batch: 95
get_input: 17370134.34496376 mv_to_gpu: 0.006314411759376526, forward: 0.16606222341458002, backwardU: 0.39054545760154724, batch: 96
get_input: 17191060.807656523 mv_to_gpu: 0.006308476949475475, forward: 0.16596305493226984, backwardU: 0.39052892714431603, batch: 97
get_input: 17015641.830443952 mv_to_gpu: 0.006305682415864906, forward: 0.16587965585747544, backwardU: 0.3905611719403948, batch: 98
get_input: 16843766.67062412 mv_to_gpu: 0.0062995366375855726, forward: 0.1657867816963581, backwardU: 0.3904857900407579, batch: 99
get_input: 16675329.017692039 mv_to_gpu: 0.00629636287689209, forward: 0.16569953203201293, backwardU: 0.39042182207107545, batch: 100
get_input: 16510226.763599887 mv_to_gpu: 0.006292975775086054, forward: 0.16561401008379342, backwardU: 0.39036641970719443, batch: 101
get_input: 16348361.809442999 mv_to_gpu: 0.006285293429505592, forward: 0.16552463466045902, backwardU: 0.3903637212865493, batch: 102
get_input: 16189639.864481544 mv_to_gpu: 0.006286896548224884, forward: 0.16546826455199604, backwardU: 0.3904313115240301, batch: 103
