Evaluating    1 trackers on     1 sequences
Tracker: dimp dimp50 None ,  Sequence: pigeon04_wild
Using /root/.cache/torch_extensions as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /root/.cache/torch_extensions/_prroi_pooling/build.ninja...
Building extension module _prroi_pooling...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _prroi_pooling...
FPS: 18.480836359754
Done
         3764651 function calls (3632342 primitive calls) in 14.452 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.142    0.142 cpp_extension.py:199(check_compiler_ok_for_platform)
     6669    0.142    0.000    0.142    0.000 {built-in method relu_}
        1    0.000    0.000    0.139    0.139 __init__.py:106(<module>)
        1    0.000    0.000    0.130    0.130 colorbar.py:32(<module>)
        1    0.000    0.000    0.129    0.129 cpp_extension.py:1300(verify_ninja_availability)
       28    0.000    0.000    0.129    0.005 core.py:2906(__init__)
        1    0.000    0.000    0.129    0.129 cpp_extension.py:1286(is_ninja_available)
        1    0.000    0.000    0.128    0.128 subprocess.py:296(check_call)
        1    0.000    0.000    0.128    0.128 subprocess.py:279(call)
    37/31    0.000    0.000    0.128    0.004 __init__.py:108(import_module)
    41/31    0.000    0.000    0.128    0.004 <frozen importlib._bootstrap>:982(_gcd_import)
     1243    0.001    0.000    0.128    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        6    0.000    0.000    0.126    0.021 functional.py:1(<module>)
1244/1243    0.005    0.000    0.126    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     1258    0.002    0.000    0.121    0.000 posixpath.py:391(realpath)
     1107    0.003    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     1990    0.021    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.117    0.117 cpp_extension.py:56(_find_rocm_home)
      6/3    0.000    0.000    0.116    0.039 __init__.py:140(_lazy_init)
        1    0.116    0.116    0.116    0.116 {built-in method torch._C._cuda_init}
     1107    0.115    0.000    0.115    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.114    0.114 helpers.py:2(<module>)
        1    0.000    0.000    0.108    0.108 dimpnet.py:1(<module>)
        2    0.000    0.000    0.104    0.052 features.py:1(<module>)
1261/1258    0.017    0.000    0.104    0.000 posixpath.py:400(_joinrealpath)
     1005    0.004    0.000    0.103    0.000 linear.py:92(forward)
       12    0.000    0.000    0.101    0.008 init.py:387(kaiming_normal_)
2383/2121    0.003    0.000    0.100    0.000 typing.py:676(inner)
     1005    0.008    0.000    0.098    0.000 functional.py:1669(linear)
        1    0.000    0.000    0.097    0.097 figure.py:9(<module>)
     2275    0.095    0.000    0.095    0.000 {built-in method cat}
402483/402202    0.068    0.000    0.092    0.000 {built-in method builtins.isinstance}
       11    0.000    0.000    0.090    0.008 artist.py:1613(kwdoc)
    77121    0.089    0.000    0.089    0.000 module.py:765(__getattr__)
        6    0.001    0.000    0.087    0.015 __init__.py:3(<module>)
    44002    0.016    0.000    0.087    0.000 hipify_python.py:589(quote)
        2    0.000    0.000    0.085    0.043 __init__.py:41(<module>)
      143    0.028    0.000    0.079    0.001 net_wrappers.py:55(preprocess_image)
        1    0.000    0.000    0.079    0.079 server.py:7(<module>)
    83772    0.035    0.000    0.078    0.000 sre_parse.py:253(get)
       67    0.001    0.000    0.076    0.001 dimp.py:320(get_iou_features)
        1    0.000    0.000    0.075    0.075 contour.py:3(<module>)
       67    0.001    0.000    0.074    0.001 atom_iou_net.py:172(get_iou_feat)
        2    0.000    0.000    0.073    0.037 __init__.py:3225(_call_aside)
        1    0.000    0.000    0.073    0.073 __init__.py:3242(_initialize_master_working_set)
     1005    0.073    0.000    0.073    0.000 {built-in method addmm}
        1    0.000    0.000    0.071    0.071 _subplots.py:1(<module>)
    44020    0.060    0.000    0.070    0.000 re.py:249(escape)
        9    0.000    0.000    0.068    0.008 atom_iou_net.py:7(conv)
      470    0.009    0.000    0.067    0.000 typing.py:922(__new__)
       11    0.001    0.000    0.066    0.006 artist.py:1386(pprint_setters)
      362    0.004    0.000    0.065    0.000 typing.py:1099(__getitem__)
16392/2773    0.050    0.000    0.062    0.000 sre_parse.py:173(getwidth)
       18    0.000    0.000    0.062    0.003 __init__.py:596(add_entry)
    11458    0.043    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.060    0.060 text.py:3(<module>)
      143    0.001    0.000    0.060    0.000 dimp.py:313(get_classification_features)
      192    0.001    0.000    0.059    0.000 __init__.py:2032(find_on_path)
        1    0.000    0.000    0.059    0.059 module.py:1000(load_state_dict)
    219/1    0.001    0.000    0.058    0.058 module.py:1029(load)
      219    0.024    0.000    0.057    0.000 module.py:924(_load_from_state_dict)
      143    0.001    0.000    0.056    0.000 dimpnet.py:80(extract_classification_feat)
       16    0.000    0.000    0.056    0.003 __init__.py:2(<module>)
     2667    0.035    0.000    0.056    0.000 inspect.py:614(cleandoc)
      209    0.022    0.000    0.055    0.000 dcf.py:156(max2d)
       67    0.001    0.000    0.055    0.001 dimp.py:605(update_classifier)
      143    0.001    0.000    0.055    0.000 linear_filter.py:68(extract_classification_feat)
        1    0.000    0.000    0.055    0.055 requirements.py:4(<module>)
134675/134670    0.052    0.000    0.054    0.000 {built-in method builtins.hasattr}
    88285    0.039    0.000    0.054    0.000 sre_parse.py:163(__getitem__)
   114028    0.037    0.000    0.053    0.000 inspect.py:64(ismodule)
    99133    0.052    0.000    0.052    0.000 sre_parse.py:232(__next)
    36746    0.017    0.000    0.052    0.000 {built-in method builtins.sorted}
      143    0.051    0.000    0.051    0.000 {cvtColor}
     2387    0.002    0.000    0.050    0.000 inspect.py:595(getdoc)
        1    0.000    0.000    0.048    0.048 _axes.py:1(<module>)
        1    0.000    0.000    0.047    0.047 hub.py:1(<module>)
    11450    0.009    0.000    0.046    0.000 posixpath.py:168(islink)
      629    0.007    0.000    0.045    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.045    0.045 linear_filter.py:14(__init__)
        6    0.009    0.002    0.044    0.007 optimizer.py:85(forward)
    13666    0.028    0.000    0.043    0.000 posixpath.py:75(join)
     4514    0.043    0.000    0.043    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
     7510    0.042    0.000    0.042    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.041    0.041 collections.py:10(<module>)
      673    0.040    0.000    0.040    0.000 {built-in method _prroi_pooling.prroi_pooling_forward_cuda}
        1    0.000    0.000    0.040    0.040 initializer.py:128(__init__)
        1    0.000    0.000    0.040    0.040 core.py:4(<module>)
     1328    0.002    0.000    0.039    0.000 inspect.py:702(getabsfile)
     1071    0.003    0.000    0.039    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.038    0.038 textpath.py:1(<module>)
      401    0.000    0.000    0.038    0.000 sre_parse.py:96(closegroup)
      494    0.001    0.000    0.037    0.000 typing.py:133(__new__)
322421/318285    0.035    0.000    0.037    0.000 {built-in method builtins.len}
      143    0.018    0.000    0.036    0.000 normalization.py:15(forward)
        1    0.000    0.000    0.036    0.036 features.py:50(residual_bottleneck)
    11450    0.036    0.000    0.036    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.036    0.036 connectionpool.py:1(<module>)
       16    0.000    0.000    0.035    0.002 __init__.py:2006(_by_version_descending)
        1    0.000    0.000    0.035    0.035 fakedata.py:1(<module>)
   336973    0.035    0.000    0.035    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.034    0.034 __init__.py:134(_load_global_deps)
     5459    0.003    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.034    0.034 mathtext.py:16(<module>)
        2    0.000    0.000    0.034    0.017 transforms.py:1(<module>)
       69    0.002    0.000    0.034    0.000 __init__.py:357(namedtuple)
        1    0.000    0.000    0.034    0.034 common.py:2(<module>)
        1    0.000    0.000    0.034    0.034 __init__.py:13(<module>)
     1071    0.027    0.000    0.034    0.000 sre_compile.py:250(_optimize_charset)
      771    0.020    0.000    0.034    0.000 tensor.py:21(wrapped)
        1    0.000    0.000    0.034    0.034 web.py:58(<module>)
        5    0.000    0.000    0.034    0.007 __init__.py:332(__init__)
     1747    0.001    0.000    0.033    0.000 artist.py:1356(is_alias)
     9633    0.009    0.000    0.033    0.000 {built-in method builtins.any}
    63279    0.026    0.000    0.033    0.000 sre_parse.py:171(append)
      425    0.002    0.000    0.033    0.000 artist.py:1290(get_valid_values)
       12    0.002    0.000    0.033    0.003 artist.py:1337(get_setters)
        5    0.033    0.007    0.033    0.007 {built-in method _ctypes.dlopen}
        2    0.000    0.000    0.033    0.016 connection.py:1(<module>)
     2615    0.003    0.000    0.033    0.000 posixpath.py:376(abspath)
